# measurements of white dwarf masses and radii
# from Joyce et al. (2018), MNRAS, 479, 1612 (Table 4)
#
# source    instrument          R     err           M     err
#                              0.01 Rsun            Msun
#                         
Sirius B        HST         0.802   0.011       0.927   0.107
HZ43            HST         1.461   0.009       0.607   0.106
HZ43            FUSE        1.457   0.036       0.643   0.065
14 Aur Cb       HST         1.34    0.013       0.541   0.086
14 Aur Cb       FUSE        1.378   0.011       0.59    0.028
HD2133 B        HST         1.418   0.009       0.398   0.138
HD2133 B        FUSE        1.464   0.018       0.277   0.069
HR1358 B        HST         1.235   0.018       0.729   0.053
RE 0357         FUSE        1.42    0.014       0.543   0.039
HD 223816       FUSE        1.717   0.009       0.723   0.019
RE 1024         FUSE        2.183   0.043       0.559   0.03 
REJ 1925        FUSE        1.452   0.024       0.524   0.04 
Feige 24        FUSE        1.993   0.009       0.633   0.012
HD15638         FUSE        1.504   0.042       0.376   0.026
