               density               pressure           Fermi energy
            (kg m**-3)                   (Pa)             (m_e c**2)

 1.000000000000000e+05  6.810445224365876e+14  6.906598411444969e-04
 1.123654800138752e+05  8.271107967473866e+14  7.464822383598888e-04
 1.262600109874855e+05  1.004504474463037e+15  8.068164659224867e-04
 1.418726674116596e+05  1.219944465946126e+15  8.720271913151924e-04
 1.594159037456000e+05  1.481590712463613e+15  9.425085561728239e-04
 1.791284454622002e+05  1.799353249703883e+15  1.018686558522575e-03
 2.012785375849938e+05  2.185267557351437e+15  1.101021627568424e-03
 2.261675949222865e+05  2.653950411348408e+15  1.190011406581800e-03
 2.541343036702639e+05  3.223153504568160e+15  1.286193760718644e-03
 2.855592301990106e+05  3.914435804673427e+15  1.390150027942485e-03
 3.208699997370450e+05  4.753980115186076e+15  1.502508532702512e-03
 3.605471154250506e+05  5.773584767593376e+15  1.623948383603713e-03
 4.051304969235378e+05  7.011868005527282e+15  1.755203578022716e-03
 4.552268275507310e+05  8.515730677914939e+15  1.897067438478101e-03
 5.115178099293145e+05  1.034213264163241e+16  2.050397407569143e-03
 5.747694424835347e+05  1.256025015616241e+16  2.216120230464221e-03
 6.458424430196978e+05  1.525409598309672e+16  2.395237556262461e-03
 7.257039612324216e+05  1.852570142859492e+16  2.588831992083920e-03
 8.154407395185153e+05  2.249898085089732e+16  2.798073646480017e-03
 9.162739011886731e+05  2.732442500383310e+16  3.024227201713365e-03
 1.029575567312513e+06  3.318480098001074e+16  3.268659557652701e-03
 1.156887528316283e+06  4.030207464305064e+16  3.532848093483614e-03
 1.299942224413245e+06  4.894581774085102e+16  3.818389597169823e-03
 1.460686320364989e+06  5.944341812521825e+16  4.127009916635797e-03
 1.641307195375130e+06  7.219247979711224e+16  4.460574391003586e-03
 1.844262708585533e+06  8.767588243794830e+16  4.821099124931626e-03
 2.072314645219030e+06  1.064800708172993e+17  5.210763174198977e-03
 2.328566298498197e+06  1.293172668011802e+17  5.631921716186097e-03
 2.616504698748824e+06  1.570524452563637e+17  6.087120284856249e-03
 2.940048064334708e+06  1.907360955820783e+17  6.579110156275483e-03
 3.303599120128340e+06  2.316440097351602e+17  7.110864977663153e-03
 3.712105009066357e+06  2.813256037480964e+17  7.685598740480957e-03
 4.171124612056516e+06  3.416626029514733e+17  8.306785206192206e-03
 4.686904192314193e+06  4.149403136449005e+17  8.978178902102762e-03
 5.266462393484280e+06  5.039341806811165e+17  9.703837814185325e-03
 5.917685748188819e+06  6.120149093926641e+17  1.048814791404511e-02
 6.649435996665046e+06  7.432761334280886e+17  1.133584966827106e-02
 7.471670675868082e+06  9.026894640067598e+17  1.225206669039817e-02
 8.395578619995104e+06  1.096292793191973e+18  1.324233670865710e-02
 9.433732216299774e+06  1.331418983301285e+18  1.431264503668390e-02
 1.060025848806882e+07  1.616973604226378e+18  1.546946074949080e-02
 1.191103133283008e+07  1.963772238158922e+18  1.671977578335031e-02
 1.338388753173756e+07  2.384950127376225e+18  1.807114719591690e-02
 1.503886946955410e+07  2.896459680784822e+18  1.953174284201185e-02
 1.689849786812455e+07  3.517674682632325e+18  2.111039074114103e-02
 1.898807824465261e+07  4.272124088217798e+18  2.281663243512937e-02
 2.133604526501411e+07  5.188383199629262e+18  2.466078065837160e-02
 2.397434967801078e+07  6.301155975416694e+18  2.665398166926584e-02
 2.693889309590175e+07  7.652589467440769e+18  2.880828261956858e-02
 3.027001653763461e+07  9.293870170117868e+18  3.113670436885970e-02
 3.401304938279253e+07  1.128716274491247e+19  3.365332018421745e-02
 3.821892620633115e+07  1.370796455063068e+19  3.637334080077315e-02
 4.294487988789272e+07  1.664796515900729e+19  3.931320635726317e-02
 4.825522042741279e+07  2.021851916175033e+19  4.249068576224666e-02
 5.422221006501592e+07  2.455486380405431e+19  4.592498409157181e-02
 6.092704661368674e+07  2.982124119041849e+19  4.963685866621335e-02
 6.846096838574658e+07  3.621711906992048e+19  5.364874451207062e-02
 7.692649574879131e+07  4.398474581756286e+19  5.798488996001951e-02
 8.643882620598261e+07  5.341832576193000e+19  6.267150320580368e-02
 9.712740198471168e+07  6.487516238114265e+19  6.773691071558843e-02
 1.091376714651274e+08  7.878919142350078e+19  7.321172843460218e-02
 1.226330684177564e+08  9.568741652927963e+19  7.912904683367025e-02
 1.377972359833554e+08  1.162098698644186e+20  8.552463091208516e-02
 1.548365256585496e+08  1.411338537891538e+20  9.243713636565669e-02
 1.739828052930362e+08  1.714033817318385e+20  9.990834322648452e-02
 1.954966143091260e+08  2.081649333617798e+20  1.079834083866054e-01
 2.196707090793235e+08  2.528108783134067e+20  1.167111385317954e-01
 2.468340467068651e+08  3.070322131658845e+20  1.261442851351744e-01
 2.773562614198418e+08  3.728826091283827e+20  1.363398632935896e-01
 3.116526944929436e+08  4.528561962821419e+20  1.473594963338646e-01
 3.501900461431706e+08  5.499820305122363e+20  1.592697882717561e-01
 3.934927263095845e+08  6.679388211305623e+20  1.721427263748088e-01
 4.421499907374487e+08  8.111942645794488e+20  1.860561162622406e-01
 4.968239594734387e+08  9.851742615780166e+20  2.010940521716646e-01
 5.582586268862700e+08  1.196468426929728e+21  2.173474252349911e-01
 6.272899858196231e+08  1.453079675819690e+21  2.349144728355936e-01
 7.048574036451889e+08  1.764727339858407e+21  2.539013723671235e-01
 7.920164050192541e+08  2.143215293605256e+21  2.744228829827165e-01
 8.899530352885225e+08  2.602879034623000e+21  2.966030392134148e-01
 1.000000000000000e+09  3.161128650534815e+21  3.205759006481071e-01
