cp_route_times,num_trips
1.0,1004
2.0,565
3.0,420
4.0,330
5.0,264
6.0,177
7.0,214
8.0,182
9.0,171
10.0,202
11.0,195
12.0,201
13.0,224
14.0,267
15.0,310
16.0,385
17.0,457
18.0,500
19.0,548
20.0,610
21.0,620
22.0,642
23.0,713
24.0,817
25.0,881
26.0,921
27.0,952
28.0,1057
29.0,943
30.0,899
31.0,949
32.0,814
33.0,842
34.0,733
35.0,752
36.0,726
37.0,721
38.0,681
39.0,657
40.0,708
41.0,660
42.0,676
43.0,689
44.0,604
45.0,603
46.0,586
47.0,641
48.0,605
49.0,616
50.0,675
51.0,702
52.0,693
53.0,623
54.0,599
55.0,588
56.0,639
57.0,651
58.0,510
59.0,569
60.0,509
61.0,456
62.0,455
63.0,393
64.0,423
65.0,381
66.0,350
67.0,337
68.0,319
69.0,318
70.0,317
71.0,320
72.0,315
73.0,277
74.0,278
75.0,217
76.0,257
77.0,208
78.0,244
79.0,219
80.0,238
81.0,220
82.0,179
83.0,164
84.0,205
85.0,202
86.0,174
87.0,167
88.0,149
89.0,161
90.0,138
91.0,121
92.0,103
93.0,102
94.0,89
95.0,107
96.0,94
97.0,89
98.0,100
99.0,83
100.0,81
101.0,75
102.0,61
103.0,73
104.0,72
105.0,58
106.0,64
107.0,60
108.0,64
109.0,49
110.0,55
111.0,41
112.0,40
113.0,46
114.0,55
115.0,37
116.0,43
117.0,53
118.0,38
119.0,24
120.0,44
121.0,50
122.0,52
123.0,50
124.0,47
125.0,30
126.0,42
127.0,21
128.0,30
129.0,22
130.0,31
131.0,23
132.0,24
133.0,19
134.0,21
135.0,20
136.0,25
137.0,29
138.0,27
139.0,24
140.0,11
141.0,18
142.0,18
143.0,6
144.0,12
145.0,21
146.0,14
147.0,11
148.0,18
149.0,15
150.0,12
151.0,27
152.0,16
153.0,17
154.0,6
155.0,9
156.0,16
157.0,13
158.0,9
159.0,10
160.0,13
161.0,9
162.0,7
163.0,11
164.0,11
165.0,15
166.0,5
167.0,14
168.0,13
169.0,16
170.0,14
171.0,12
172.0,11
173.0,9
174.0,11
175.0,8
176.0,15
177.0,10
178.0,8
179.0,11
180.0,5
181.0,13
182.0,2
183.0,5
184.0,10
185.0,4
186.0,4
187.0,2
188.0,1
189.0,2
190.0,9
191.0,4
192.0,5
193.0,3
194.0,10
195.0,4
196.0,1
197.0,6
198.0,3
199.0,4
200.0,1
201.0,3
202.0,7
203.0,5
204.0,3
209.0,2
211.0,1
212.0,3
213.0,5
214.0,7
215.0,5
216.0,2
217.0,1
221.0,3
223.0,1
224.0,2
225.0,2
226.0,1
227.0,3
230.0,2
231.0,6
232.0,3
233.0,2
234.0,4
235.0,3
236.0,3
237.0,7
238.0,6
239.0,2
240.0,3
241.0,1
242.0,1
243.0,4
245.0,3
246.0,4
247.0,2
248.0,1
249.0,3
250.0,1
253.0,2
258.0,1
259.0,2
260.0,1
262.0,1
265.0,1
266.0,2
267.0,2
268.0,4
270.0,2
273.0,1
274.0,1
275.0,1
276.0,1
277.0,1
279.0,2
280.0,1
282.0,2
287.0,1
288.0,2
289.0,1
293.0,1
297.0,1
298.0,2
299.0,2
304.0,3
308.0,1
310.0,2
311.0,2
312.0,2
314.0,1
316.0,2
317.0,3
318.0,1
319.0,1
320.0,2
321.0,1
322.0,1
330.0,1
331.0,3
332.0,1
335.0,1
353.0,1
356.0,1
357.0,1
370.0,2
376.0,1
377.0,1
388.0,1
406.0,1
407.0,1
416.0,1
459.0,1
471.0,1
509.0,1
510.0,1
523.0,1
524.0,1
529.0,1
547.0,1
558.0,2
565.0,1
599.0,1
642.0,1
687.0,1
767.0,2
804.0,1
835.0,1
882.0,1
945.0,1
963.0,1
973.0,1
1016.0,1
1023.0,1
1077.0,1
1083.0,2
1137.0,1
1166.0,1
1177.0,1
1184.0,1
1209.0,1
1299.0,1
1308.0,1
1333.0,1
1338.0,1
1395.0,1
1594.0,1
1962.0,1
3105.0,1
