names,years,num_trips
1 Ave & E 15 St,2013,25642
1 Ave & E 15 St,2014,49487
1 Ave & E 15 St,2015,51911
1 Ave & E 15 St,2016,27600
1 Ave & E 16 St,2016,12502
1 Ave & E 18 St,2013,16810
1 Ave & E 18 St,2014,23822
1 Ave & E 18 St,2015,25715
1 Ave & E 18 St,2016,28100
1 Ave & E 30 St,2013,17679
1 Ave & E 30 St,2014,33802
1 Ave & E 30 St,2015,38597
1 Ave & E 30 St,2016,35181
1 Ave & E 44 St,2013,11611
1 Ave & E 44 St,2014,19237
1 Ave & E 44 St,2015,24622
1 Ave & E 44 St,2016,20646
1 Ave & E 62 St,2015,10687
1 Ave & E 62 St,2016,25155
1 Ave & E 68 St,2015,18191
1 Ave & E 68 St,2016,44114
1 Ave & E 78 St,2015,10905
1 Ave & E 78 St,2016,28900
1 Ave & E 94 St,2016,2648
1 Pl & Clinton St,2016,601
10 Ave & W 28 St,2013,15640
10 Ave & W 28 St,2014,29677
10 Ave & W 28 St,2015,39468
10 Ave & W 28 St,2016,11489
10 St & 5 Ave,2016,618
10 St & 7 Ave,2016,1052
11 Ave & W 27 St,2013,17016
11 Ave & W 27 St,2014,30793
11 Ave & W 27 St,2015,44986
11 Ave & W 27 St,2016,41390
11 Ave & W 41 St,2013,15757
11 Ave & W 41 St,2014,27141
11 Ave & W 41 St,2015,34893
11 Ave & W 41 St,2016,32866
11 Ave & W 59 St,2014,21841
11 Ave & W 59 St,2015,31794
11 Ave & W 59 St,2016,26847
12 Ave & W 40 St,2013,19035
12 Ave & W 40 St,2014,37894
12 Ave & W 40 St,2015,51660
12 Ave & W 40 St,2016,63138
12 St & 4 Ave,2016,581
14 St & 5 Ave,2016,821
14 St & 7 Ave,2016,1201
2 Ave  & E 104 St,2016,967
2 Ave & 9 St,2016,453
2 Ave & E 105 St,2016,1
2 Ave & E 31 St,2013,29540
2 Ave & E 31 St,2014,49981
2 Ave & E 31 St,2015,36449
2 Ave & E 31 St,2016,28523
2 Ave & E 58 St,2013,17837
2 Ave & E 58 St,2014,21763
2 Ave & E 58 St,2015,21146
2 Ave & E 99 St,2016,133
21 St & 41 Ave,2015,257
21 St & 41 Ave,2016,2528
21 St & 43 Ave,2015,575
21 St & 43 Ave,2016,1663
21 St & Queens Plaza North,2015,351
3 Ave & 14 St,2016,318
3 Ave & E 100 St,2016,548
3 Ave & E 62 St,2015,7649
3 Ave & E 62 St,2016,13771
3 Ave & E 71 St,2016,4232
3 Ave & E 72 St,2016,31
3 Ave & Schermerhorn St,2013,2440
3 Ave & Schermerhorn St,2014,3691
3 Ave & Schermerhorn St,2015,4683
3 Ave & Schermerhorn St,2016,4147
3 St & 3 Ave,2016,1433
3 St & 7 Ave,2016,949
3 St & Hoyt St,2016,539
3 St & Prospect Park West,2016,1109
31 St & Thomson Ave,2015,871
31 St & Thomson Ave,2016,1484
3969.TEMP (Bike The Branches - Central Branch),2016,9
4 Ave & 9 St,2016,856
44 Dr & Jackson Ave,2015,3333
44 Dr & Jackson Ave,2016,6933
45 Rd & 11 St,2015,2447
45 Rd & 11 St,2016,6359
46 Ave & 5 St,2015,5189
46 Ave & 5 St,2016,9388
47 Ave & 31 St,2015,631
47 Ave & 31 St,2016,2177
48 Ave & 5 St,2015,855
48 Ave & 5 St,2016,4270
5 Ave & 3 St,2016,2090
5 Ave & E 103 St,2016,2631
5 Ave & E 29 St,2013,20208
5 Ave & E 29 St,2014,33800
5 Ave & E 29 St,2015,40371
5 Ave & E 29 St,2016,36718
5 Ave & E 63 St,2015,6996
5 Ave & E 63 St,2016,7085
5 Ave & E 73 St,2015,8173
5 Ave & E 73 St,2016,34946
5 Ave & E 78 St,2015,8615
5 Ave & E 78 St,2016,34363
5 Ave & E 88 St,2016,9481
5 Ave & E 93 St,2016,3668
5 St & 6 Ave,2016,622
6 Ave & 12 St,2016,591
6 Ave & 9 St,2016,1043
6 Ave & Broome St,2013,10133
6 Ave & Broome St,2014,22024
6 Ave & Broome St,2015,25645
6 Ave & Broome St,2016,22442
6 Ave & Canal St,2013,12814
6 Ave & Canal St,2014,20582
6 Ave & Canal St,2015,22811
6 Ave & Canal St,2016,23218
6 Ave & W 33 St,2013,22435
6 Ave & W 33 St,2014,39610
6 Ave & W 33 St,2015,48066
6 Ave & W 33 St,2016,44221
6 St & 7 Ave,2016,752
7 Ave & Farragut St,2013,969
7 Ave & Farragut St,2014,457
7 Ave & Park Pl,2016,2634
7 St & 3 Ave,2016,89
7 St & 5 Ave,2016,867
78 St & 2 Ave,2016,680
8 Ave & W 16 St,2016,4108
8 Ave & W 31 St,2013,48405
8 Ave & W 31 St,2014,100498
8 Ave & W 31 St,2015,100796
8 Ave & W 31 St,2016,41878
8 Ave & W 31 St N,2016,7804
8 Ave & W 33 St,2013,36873
8 Ave & W 33 St,2014,58711
8 Ave & W 33 St,2015,64878
8 Ave & W 33 St,2016,63508
8 Ave & W 52 St,2013,21794
8 Ave & W 52 St,2014,29839
8 Ave & W 52 St,2015,36228
8 Ave & W 52 St,2016,31037
8D OPS 01,2016,8
9 Ave & W 14 St,2013,25074
9 Ave & W 14 St,2014,37282
9 Ave & W 14 St,2015,25199
9 Ave & W 16 St,2013,21909
9 Ave & W 16 St,2014,33972
9 Ave & W 16 St,2015,44824
9 Ave & W 16 St,2016,15095
9 Ave & W 18 St,2013,15582
9 Ave & W 18 St,2014,27647
9 Ave & W 18 St,2015,34089
9 Ave & W 18 St,2016,38359
9 Ave & W 22 St,2013,24573
9 Ave & W 22 St,2014,41360
9 Ave & W 22 St,2015,47922
9 Ave & W 22 St,2016,42331
9 Ave & W 28 St,2016,11070
9 Ave & W 45 St,2013,22325
9 Ave & W 45 St,2014,35266
9 Ave & W 45 St,2015,40561
9 Ave & W 45 St,2016,39618
9 St & 44 Rd,2015,1120
9 St & 44 Rd,2016,2113
Adelphi St & Myrtle Ave,2013,6075
Adelphi St & Myrtle Ave,2014,9828
Adelphi St & Myrtle Ave,2015,11627
Adelphi St & Myrtle Ave,2016,10502
Adventures NYC,2016,178
Albany Ave & Fulton St,2015,536
Albany Ave & Fulton St,2016,1141
Allen St & E Houston St,2013,20459
Allen St & E Houston St,2014,34637
Allen St & E Houston St,2015,38761
Allen St & E Houston St,2016,4267
Allen St & Hester St,2013,16006
Allen St & Hester St,2014,31166
Allen St & Hester St,2015,32610
Allen St & Hester St,2016,29279
Allen St & Rivington St,2013,22928
Allen St & Rivington St,2014,34018
Allen St & Rivington St,2015,39153
Allen St & Rivington St,2016,28646
Allen St & Stanton St,2016,25770
Amsterdam Ave & W 66 St,2016,480
Amsterdam Ave & W 73 St,2015,8138
Amsterdam Ave & W 73 St,2016,29252
Amsterdam Ave & W 79 St,2016,1033
Amsterdam Ave & W 82 St,2015,3715
Amsterdam Ave & W 82 St,2016,16538
Ashland Pl & Hanson Pl,2013,9913
Ashland Pl & Hanson Pl,2014,16182
Ashland Pl & Hanson Pl,2015,6424
Atlantic Ave & Fort Greene Pl,2013,8977
Atlantic Ave & Fort Greene Pl,2014,9777
Atlantic Ave & Fort Greene Pl,2015,11140
Atlantic Ave & Fort Greene Pl,2016,10034
Atlantic Ave & Furman St,2013,6610
Atlantic Ave & Furman St,2014,9953
Atlantic Ave & Furman St,2015,10939
Atlantic Ave & Furman St,2016,11742
Avenue D & E 12 St,2013,2921
Avenue D & E 12 St,2014,5052
Avenue D & E 12 St,2015,6672
Avenue D & E 12 St,2016,6464
Avenue D & E 3 St,2013,5658
Avenue D & E 3 St,2014,12250
Avenue D & E 3 St,2015,14556
Avenue D & E 3 St,2016,13123
Avenue D & E 8 St,2013,4718
Avenue D & E 8 St,2014,8795
Avenue D & E 8 St,2015,10213
Avenue D & E 8 St,2016,8700
Baltic St & 5 Ave,2016,1311
Bank St & Hudson St,2013,16637
Bank St & Hudson St,2014,26691
Bank St & Hudson St,2015,31008
Bank St & Hudson St,2016,30792
Bank St & Washington St,2013,15138
Bank St & Washington St,2014,21157
Bank St & Washington St,2015,24037
Bank St & Washington St,2016,24368
Banker St & Meserole Ave,2015,2709
Banker St & Meserole Ave,2016,7748
Barclay St & Church St,2013,28110
Barclay St & Church St,2014,36504
Barclay St & Church St,2015,52681
Barclay St & Church St,2016,40704
