qmin_interval,num_trips
4.0,56799
5.0,68392
6.0,90430
7.0,123448
8.0,164339
9.0,207431
10.0,250908
11.0,295197
12.0,335560
13.0,372952
14.0,410380
15.0,444034
16.0,472328
17.0,498065
18.0,520099
19.0,537867
20.0,553412
21.0,564620
22.0,572615
23.0,576049
24.0,581464
25.0,580018
26.0,578099
27.0,576313
28.0,573004
29.0,565999
30.0,559570
31.0,549991
32.0,543052
33.0,530801
34.0,519870
35.0,507280
36.0,496378
37.0,483520
38.0,470859
39.0,459440
40.0,448037
41.0,435207
42.0,423354
43.0,412109
44.0,400762
45.0,389811
46.0,379523
47.0,366930
48.0,357510
49.0,347217
50.0,337784
51.0,327892
52.0,319477
53.0,309350
54.0,301560
55.0,292722
56.0,284443
57.0,276533
58.0,269580
59.0,262013
60.0,255251
61.0,247321
62.0,240570
63.0,235248
64.0,229617
65.0,223647
66.0,217854
67.0,212374
68.0,207174
69.0,202223
70.0,197087
71.0,192176
72.0,188680
73.0,183408
74.0,179825
75.0,176317
76.0,172721
77.0,167810
78.0,165328
79.0,161532
80.0,158607
81.0,155149
82.0,151341
83.0,148609
84.0,145806
85.0,142652
86.0,139807
87.0,136705
88.0,133337
89.0,131101
90.0,127933
91.0,125802
92.0,122765
93.0,120659
94.0,117931
95.0,116000
96.0,112888
97.0,111065
98.0,107904
99.0,106090
100.0,103249
101.0,100518
102.0,98419
103.0,96265
104.0,95053
105.0,92184
106.0,90183
107.0,87509
108.0,86116
109.0,83710
110.0,81157
111.0,79070
112.0,76557
113.0,74766
114.0,72749
115.0,70790
116.0,69043
117.0,66971
118.0,64650
119.0,62300
120.0,60699
121.0,58812
122.0,56459
123.0,55381
124.0,53758
125.0,51807
126.0,50149
127.0,48700
128.0,47419
129.0,45737
130.0,44708
131.0,43796
132.0,42085
133.0,40915
134.0,39708
135.0,38247
136.0,37102
137.0,36385
138.0,34979
139.0,33788
140.0,33301
141.0,32095
142.0,31063
143.0,30406
144.0,29560
145.0,28585
146.0,28039
147.0,26905
148.0,26259
149.0,25176
150.0,24711
