ald	dod
0	2.40
1	0.22
2	0.11
3	0.10
4	0.09
5	0.11
6	0.04
7	0.05
8	0.08
9	0.04
10	0.09
11	0.08
12	0.07
13	0.10
14	0.08
15	0.14
16	0.19
17	0.28
18	0.42
19	0.35
20	0.38
21	0.44
22	0.47
23	0.40
24	0.42
25	0.48
26	0.44
27	0.50
28	0.47
29	0.50
30	0.54
31	0.56
32	0.62
33	0.53
34	0.62
35	0.66
36	0.67
37	0.71
38	0.69
39	0.81
40	0.86
41	1.00
42	0.91
43	1.04
44	1.13
45	1.30
46	1.47
47	1.58
48	1.71
49	1.99
50	2.17
51	2.48
52	2.58
53	2.92
54	3.36
55	3.79
56	4.00
57	4.32
58	4.54
59	5.34
60	5.94
61	6.42
62	7.15
63	7.41
64	8.33
65	8.92
66	10.53
67	11.44
68	12.68
69	14.03
70	14.58
71	16.88
72	18.80
73	20.51
74	23.01
75	26.17
76	28.83
77	32.64
78	37.06
79	42.21
80	46.90
81	54.64
82	61.29
83	69.15
84	78.67
85	88.28
86	99.37
87	111.30
88	123.32
89	141.47
90	161.49
91	179.99
92	199.56
93	217.47
94	235.60
95	266.66
96	288.38
97	300.90
98	331.35
99	325.02
100	366.97
101	368.10
102	395.84
103	375.48
104	466.24
105	325.51
106	1000.00
